timestamp,station_id,sensor_id,location,pm25,pm10,co,no2,o3,temperature,humidity,wind_speed,aqi,aqi_category
2026-05-09 21:41:30.612608,STN-ESP-02,AQM-005,España-UST,21.63,29.49,2.28,22.02,27.37,36.0,51.1,1.93,134.45,Unhealthy for Sensitive
2026-05-09 07:11:30.612653,STN-C5-03,AQM-004,C5-Pasig,41.69,48.02,0.41,143.59,43.99,30.8,64.8,2.11,360.5,Unhealthy
2026-05-09 10:29:30.612680,STN-QUI-04,AQM-004,Quiapo-Plaza Miranda,45.97,115.95,0.95,76.99,43.42,27.3,61.4,5.71,356.08,Unhealthy
2026-05-09 23:58:30.612704,STN-UPD-05,AQM-004,UP Diliman,13.79,15.46,1.48,88.84,52.27,25.8,87.8,5.98,194.2,Unhealthy
2026-05-09 09:52:30.612728,STN-EDSA-01,AQM-001,EDSA-Guadalupe,23.38,30.69,3.46,85.92,46.43,29.5,66.5,3.58,247.06,Unhealthy
2026-05-09 03:44:30.612750,STN-ESP-02,AQM-004,España-UST,33.71,20.5,2.98,170.58,46.5,28.1,65.0,4.84,377.68,Unhealthy
2026-05-09 10:25:30.612772,STN-EDSA-01,AQM-002,EDSA-Guadalupe,38.31,35.43,0.76,166.32,30.71,32.8,58.1,3.49,376.18,Unhealthy
2026-05-10 02:06:30.612794,STN-UPD-05,AQM-005,UP Diliman,25.77,58.79,1.21,70.55,43.23,26.5,64.0,0.66,240.0,Unhealthy
2026-05-10 01:25:30.612816,STN-UPD-05,AQM-004,UP Diliman,14.04,34.98,0.47,60.09,41.17,25.9,83.6,0.63,164.9,Unhealthy
2026-05-09 14:21:30.612837,STN-EDSA-01,AQM-003,EDSA-Guadalupe,22.79,45.44,2.48,99.28,58.08,30.1,71.1,1.6,273.86,Unhealthy
2026-05-09 17:02:30.612858,STN-QUI-04,AQM-005,Quiapo-Plaza Miranda,16.77,62.78,2.67,178.58,32.02,34.3,77.5,3.12,403.41,Unhealthy
2026-05-09 09:11:30.612879,STN-UPD-05,AQM-001,UP Diliman,14.82,21.89,0.52,39.03,48.79,29.6,61.0,3.17,119.61,Unhealthy for Sensitive
2026-05-09 12:03:30.612900,STN-UPD-05,AQM-004,UP Diliman,14.03,23.56,0.46,9.57,55.16,27.4,83.0,4.11,75.25,Moderate
2026-05-09 20:15:30.612921,STN-QUI-04,AQM-002,Quiapo-Plaza Miranda,64.11,31.43,2.74,136.94,51.7,29.7,75.3,2.19,398.75,Unhealthy
2026-05-09 18:17:30.612942,STN-EDSA-01,AQM-003,EDSA-Guadalupe,44.53,22.44,0.99,174.19,11.99,31.9,67.0,3.91,387.2,Unhealthy
2026-05-09 20:19:30.612963,STN-EDSA-01,AQM-005,EDSA-Guadalupe,28.73,62.96,1.55,24.84,24.72,32.0,86.4,3.11,185.72,Unhealthy
2026-05-09 15:26:30.612984,STN-QUI-04,AQM-003,Quiapo-Plaza Miranda,53.05,116.82,2.78,179.13,13.08,33.2,76.4,2.56,542.72,Unhealthy
2026-05-10 01:42:30.613005,STN-QUI-04,AQM-001,Quiapo-Plaza Miranda,30.46,21.37,1.02,121.4,17.84,28.9,85.7,5.32,278.91,Unhealthy
2026-05-09 09:08:30.613029,STN-C5-03,AQM-005,C5-Pasig,12.48,55.55,0.38,129.98,45.67,34.1,85.3,2.67,290.44,Unhealthy
2026-05-09 20:06:30.613050,STN-EDSA-01,AQM-003,EDSA-Guadalupe,44.65,118.26,0.47,50.59,30.89,28.6,62.0,4.89,311.78,Unhealthy
2026-05-09 06:49:30.613071,STN-ESP-02,AQM-002,España-UST,46.71,88.49,1.99,45.51,31.28,24.0,74.0,1.79,287.82,Unhealthy
2026-05-09 12:07:30.613092,STN-UPD-05,AQM-005,UP Diliman,20.54,28.55,1.26,15.8,19.63,27.1,87.0,4.77,111.61,Unhealthy for Sensitive
2026-05-09 14:37:30.613113,STN-QUI-04,AQM-001,Quiapo-Plaza Miranda,43.52,21.67,3.26,43.71,33.97,26.7,56.0,1.54,211.23,Unhealthy
2026-05-09 16:20:30.613133,STN-QUI-04,AQM-005,Quiapo-Plaza Miranda,30.7,23.82,2.45,74.58,49.39,27.8,58.8,2.93,226.35,Unhealthy
2026-05-09 22:23:30.613154,STN-ESP-02,AQM-001,España-UST,43.5,79.9,1.37,133.88,36.15,31.0,54.8,4.97,397.4,Unhealthy
2026-05-09 03:40:30.613174,STN-C5-03,AQM-003,C5-Pasig,25.66,53.27,2.01,101.32,15.07,27.7,88.0,1.14,287.34,Unhealthy
2026-05-09 11:11:30.613195,STN-ESP-02,AQM-001,España-UST,15.26,76.09,0.32,99.34,36.5,35.2,77.5,2.12,273.99,Unhealthy
2026-05-09 08:30:30.613216,STN-C5-03,AQM-001,C5-Pasig,7.78,28.66,1.16,60.36,5.36,28.3,57.3,4.94,152.14,Unhealthy
2026-05-09 05:49:30.613236,STN-EDSA-01,AQM-001,EDSA-Guadalupe,22.95,55.47,2.72,59.03,9.39,26.9,60.5,3.1,228.22,Unhealthy
2026-05-09 21:02:30.613257,STN-EDSA-01,AQM-003,EDSA-Guadalupe,50.84,83.47,2.05,177.64,35.04,25.4,58.0,0.98,488.77,Unhealthy
2026-05-09 09:30:30.613278,STN-UPD-05,AQM-002,UP Diliman,17.96,46.26,0.85,26.1,13.62,34.4,57.4,4.39,139.15,Unhealthy for Sensitive
2026-05-09 12:09:30.613298,STN-QUI-04,AQM-003,Quiapo-Plaza Miranda,23.38,25.49,1.9,176.34,8.56,29.7,55.8,4.53,360.87,Unhealthy
2026-05-09 21:07:30.613319,STN-EDSA-01,AQM-003,EDSA-Guadalupe,25.34,122.67,3.52,24.98,5.07,35.4,58.1,1.1,270.53,Unhealthy
2026-05-09 13:30:30.613339,STN-ESP-02,AQM-003,España-UST,43.8,52.63,2.04,124.72,49.45,25.9,52.4,2.72,358.28,Unhealthy
2026-05-09 05:43:30.613359,STN-QUI-04,AQM-002,Quiapo-Plaza Miranda,59.68,133.69,2.19,148.29,39.99,30.9,86.4,1.79,524.18,Unhealthy
2026-05-09 09:03:30.613382,STN-UPD-05,AQM-005,UP Diliman,5.83,23.24,1.09,42.42,46.35,29.3,71.0,4.02,114.11,Unhealthy for Sensitive
2026-05-09 14:34:30.613402,STN-QUI-04,AQM-002,Quiapo-Plaza Miranda,10.71,36.12,2.51,212.4,25.54,31.3,59.5,1.59,408.5,Unhealthy
2026-05-09 04:14:30.613423,STN-QUI-04,AQM-001,Quiapo-Plaza Miranda,50.08,118.7,1.35,204.47,50.13,29.1,63.9,1.27,562.84,Unhealthy
2026-05-09 11:00:30.613443,STN-QUI-04,AQM-003,Quiapo-Plaza Miranda,55.68,134.56,2.96,130.0,33.69,25.7,77.1,4.47,497.47,Unhealthy
2026-05-09 15:13:30.613464,STN-ESP-02,AQM-001,España-UST,52.21,59.49,0.56,67.64,39.55,25.5,75.9,1.75,282.82,Unhealthy
2026-05-09 16:18:30.613484,STN-QUI-04,AQM-001,Quiapo-Plaza Miranda,53.25,116.14,3.11,192.21,51.23,34.6,72.3,4.86,565.26,Unhealthy
2026-05-09 23:19:30.613505,STN-ESP-02,AQM-001,España-UST,40.17,71.71,1.42,160.77,54.96,24.6,70.3,2.52,421.71,Unhealthy
2026-05-09 15:36:30.613525,STN-C5-03,AQM-005,C5-Pasig,13.75,42.73,0.43,76.05,37.39,26.7,50.1,4.13,197.15,Unhealthy
